SHA,Message,URL
bb06330b639c4a212d9472091ee2cbc16fe9e7ae,docs: update link to coc,https://github.com/freeCodeCamp/freeCodeCamp/commit/bb06330b639c4a212d9472091ee2cbc16fe9e7ae
3fff454872a3fdfb829510c3a3f77d4db664ccfa,"fix(client): localise calendar to user's current timezone (#38217)* fix: localise Heatmap to user's timezoneRather than using ISO formatted date strings, this uses Date objectsfor simplicity and to ensure that the heatmap is correct for thetimezone it is viewed in. It should also match the timeline which isalso localised to the viewing computer's timezone.* test: update snapshot",https://github.com/freeCodeCamp/freeCodeCamp/commit/3fff454872a3fdfb829510c3a3f77d4db664ccfa
cc79999a31b46e68a4dca5d536fc2fb4fe3d5199,"fix: force timezone to be UTC for tests (#38215)react-calendar-heatmap's output depends on the timezone, which meansthat snapshots can fail if the timezone changes.  This sets the timezoneas UTC during client tests to avoid that problem.",https://github.com/freeCodeCamp/freeCodeCamp/commit/cc79999a31b46e68a4dca5d536fc2fb4fe3d5199
701bbc2ae93be6feff9cade1fb516c5add409d81,added solution to d3 challenge add-labels-to-d3-elements (#38208),https://github.com/freeCodeCamp/freeCodeCamp/commit/701bbc2ae93be6feff9cade1fb516c5add409d81
c61c8c047455c5fe8aadf0d0e5ccf4a9c47420e3,update russian localization (#37259),https://github.com/freeCodeCamp/freeCodeCamp/commit/c61c8c047455c5fe8aadf0d0e5ccf4a9c47420e3
7c186f3a501cbeb5f929a8e9184df7502bfd0741,Update russian localization (#37258),https://github.com/freeCodeCamp/freeCodeCamp/commit/7c186f3a501cbeb5f929a8e9184df7502bfd0741
5d4fb2a39bd93ecf67338cc485241372707b8ce6,Update russian localization (#37257),https://github.com/freeCodeCamp/freeCodeCamp/commit/5d4fb2a39bd93ecf67338cc485241372707b8ce6
3fec01a28d4809badfaee4c37a751781e0457f6d,Update russian localization (#37256),https://github.com/freeCodeCamp/freeCodeCamp/commit/3fec01a28d4809badfaee4c37a751781e0457f6d
971c62ab53c699fa877bdbc9abdfd55a9418c871,fix : Unclear test output use-array.map-to-dynamically-render-… (#38191),https://github.com/freeCodeCamp/freeCodeCamp/commit/971c62ab53c699fa877bdbc9abdfd55a9418c871
2f951f0dff75cb1b61cdfff62dee2894d2262628,fix: edited the duplicate test guideline to mirror the actual… (#38199),https://github.com/freeCodeCamp/freeCodeCamp/commit/2f951f0dff75cb1b61cdfff62dee2894d2262628
3fd336d3e9f2662605b4ef1dba5aa16e3fb0781d,"fix(learn): correcting Hash Table Lookup Efficiency (#38130)A hash table provide a lookup of O(1), not O(n).",https://github.com/freeCodeCamp/freeCodeCamp/commit/3fd336d3e9f2662605b4ef1dba5aa16e3fb0781d
0498e27902bb8d355d3bb381bc1ba9a445d81fc5,fix: added white space checks including newlines to ensure pro… (#38166)* fix: added white space checks including newlines to ensure proper validation of trim method* fix: Addressing comments,https://github.com/freeCodeCamp/freeCodeCamp/commit/0498e27902bb8d355d3bb381bc1ba9a445d81fc5
3d1dcbea11c5f4133e8730a2fb40f2f19e91052f,fix(docs): typo,https://github.com/freeCodeCamp/freeCodeCamp/commit/3d1dcbea11c5f4133e8730a2fb40f2f19e91052f
49992889124b2585f0e4ae1178cc2b5147a0e800,fix: Use markdown syntax instead of HTML on exercises (#38196),https://github.com/freeCodeCamp/freeCodeCamp/commit/49992889124b2585f0e4ae1178cc2b5147a0e800
5feabd762cdc33cd06c6d3f4238f68b0c2d714ad,"fix: Add tests to check lazy matching is applied and that the string ""h1"" is not matched (#38193)",https://github.com/freeCodeCamp/freeCodeCamp/commit/5feabd762cdc33cd06c6d3f4238f68b0c2d714ad
81e751d88bed21e1f06675b6ba212e8552ee2b41,fix(i18n): update Chinese translation of css grid (#37924),https://github.com/freeCodeCamp/freeCodeCamp/commit/81e751d88bed21e1f06675b6ba212e8552ee2b41
e873b388da138501858fa0d7d6e2eca631b5a4a7,fix(i18n): update Chinese translation of css flexbox (#37923),https://github.com/freeCodeCamp/freeCodeCamp/commit/e873b388da138501858fa0d7d6e2eca631b5a4a7
c0d5d6ad4faeee9fbde9f5633404b1f25342fa91,fix(i18n): update Chinese translation of responsive web design princi… (#37922),https://github.com/freeCodeCamp/freeCodeCamp/commit/c0d5d6ad4faeee9fbde9f5633404b1f25342fa91
3c743574f65b9850e81177ea2d74c122d6a7564b,fix(i18n): update Chinese translation of applied accessibility (#37920),https://github.com/freeCodeCamp/freeCodeCamp/commit/3c743574f65b9850e81177ea2d74c122d6a7564b
5eed674c3a2aa9514dfe7f6a1732ebff67351396,fix(i18n): update Chinese translation of applied visual design (#37918),https://github.com/freeCodeCamp/freeCodeCamp/commit/5eed674c3a2aa9514dfe7f6a1732ebff67351396
4f32fedb8ef314c6004d7e9285ae61731c4e2136,fix(i18n): update review suggestion,https://github.com/freeCodeCamp/freeCodeCamp/commit/4f32fedb8ef314c6004d7e9285ae61731c4e2136
8c1834badb356f9173c4aaddc52a4279b43015c8,fix(i18n): update chinese translation of basic css,https://github.com/freeCodeCamp/freeCodeCamp/commit/8c1834badb356f9173c4aaddc52a4279b43015c8
85164b3cd9536c6e4aede5cb2e3cfa392670cfae,Fixed formatting and typos,https://github.com/freeCodeCamp/freeCodeCamp/commit/85164b3cd9536c6e4aede5cb2e3cfa392670cfae
450f691926cfb0ef3d7ee9c1cc3708f4f6156b9b,Fixed formatting and typos,https://github.com/freeCodeCamp/freeCodeCamp/commit/450f691926cfb0ef3d7ee9c1cc3708f4f6156b9b
b292a10a8e8d741ccef96d3357ded8961c861389,Cleaned link formatting and typos,https://github.com/freeCodeCamp/freeCodeCamp/commit/b292a10a8e8d741ccef96d3357ded8961c861389
399c7423048fe01592bc265ec3fb1f56adbbfeeb,docs: update readme for HoF wording,https://github.com/freeCodeCamp/freeCodeCamp/commit/399c7423048fe01592bc265ec3fb1f56adbbfeeb
f1cbf0f6bd4d912424118e7542109824d158bb61,fix(learn): warn about XSS in convert JSON to HTML (#37037)Co-authored-by: RedOpsMe <57320352+RedOpsMe@users.noreply.github.com>Co-authored-by: Randell Dawson <5313213+RandellDawson@users.noreply.github.com>Co-authored-by: Tom <20648924+moT01@users.noreply.github.com>,https://github.com/freeCodeCamp/freeCodeCamp/commit/f1cbf0f6bd4d912424118e7542109824d158bb61
d5a410cec83f32c4e7e77ca766cbdd7f7aee61d2,docs(i18n): Portuguese translation of README file (#36993),https://github.com/freeCodeCamp/freeCodeCamp/commit/d5a410cec83f32c4e7e77ca766cbdd7f7aee61d2
1eaec0eae4f8bdc1f11388b0dce5aeb5a47ce5ca,docs(i18n): Vietnamese translation for README.md (#37013),https://github.com/freeCodeCamp/freeCodeCamp/commit/1eaec0eae4f8bdc1f11388b0dce5aeb5a47ce5ca
99a30d4b6552eda134892e2311d19faeb13c5cd9,fix: remove donation message for unauthorized users (#38188)Co-authored-by: Oliver Eyton-Williams <ojeytonwilliams@gmail.com>,https://github.com/freeCodeCamp/freeCodeCamp/commit/99a30d4b6552eda134892e2311d19faeb13c5cd9
80ba943ca3fd868f63a66562c190e933dfef0d59,fix: fixed regex for validating newlines in for loops (#38180),https://github.com/freeCodeCamp/freeCodeCamp/commit/80ba943ca3fd868f63a66562c190e933dfef0d59
3e5963b2a7c48724281ea8c56f36414de01d101d,fix(client): disable intellisense in editor (#37813),https://github.com/freeCodeCamp/freeCodeCamp/commit/3e5963b2a7c48724281ea8c56f36414de01d101d
004b99bf8f0419763fc4621452ea6e453bc3423d,chore: fix typos in spelling (#38100)* spelling: accidentally* spelling: announce* spelling: assembly* spelling: avoid* spelling: backend* spelling: because* spelling: claimed* spelling: candidate* spelling: certification* spelling: certified* spelling: challenge* spelling: circular* spelling: it isn't* spelling: coins* spelling: combination* spelling: compliant* spelling: containers* spelling: concise* spelling: deprecated* spelling: development* spelling: donor* spelling: error* spelling: everything* spelling: exceed* spelling: exist* spelling: falsy* spelling: faulty* spelling: forward* spelling: handle* spelling: indicates* spelling: initial* spelling: integers* spelling: issealed* spelling: javascript* spelling: length* spelling: maximum* spelling: minimum* spelling: mutable* spelling: notifier* spelling: coordinate* spelling: passport* spelling: perform* spelling: permuter* spelling: placeholder* spelling: progressively* spelling: semantic* spelling: submission* spelling: submit* spelling: translations* spelling: turquoise* spelling: visualization* spelling: without* spelling: registration* spelling: representation,https://github.com/freeCodeCamp/freeCodeCamp/commit/004b99bf8f0419763fc4621452ea6e453bc3423d
9e1bac4807d0268c561bb8ddad84fffac8ee07e1,docs: update hall of fame verbiage,https://github.com/freeCodeCamp/freeCodeCamp/commit/9e1bac4807d0268c561bb8ddad84fffac8ee07e1
a7075a579cc29786c94d103411ef1072a8cba461,"Fix: Problem 39: Integer right triangles (#38145)* fix: correct test and add solutionI also changed the seed to report the results of an easier example tothe user, since just evaluating the function mostly wastes time.* fix: use a better solution* fix: credit original author",https://github.com/freeCodeCamp/freeCodeCamp/commit/a7075a579cc29786c94d103411ef1072a8cba461
158188924b9281f2afe5332c7804ddcd058137c9,docs: added responsible disclosure and hall of fame,https://github.com/freeCodeCamp/freeCodeCamp/commit/158188924b9281f2afe5332c7804ddcd058137c9
f4fbe1d97c01f19774b39cc9604261b14ed23287,fix(client): Header and buttons text made smaller (#38110)* Front page header and login buttons text made smaller* Increased headers size a little to all be over 1rem,https://github.com/freeCodeCamp/freeCodeCamp/commit/f4fbe1d97c01f19774b39cc9604261b14ed23287
8cf64f25396d4fe1a6e7119d38ba56403bd006f7,"ProjectEuler | Update Problem statement of 002 to match projecteuler.net (#38101)* Correct ProjectEuler:002 definition and testsFrom projecteuler.net:By considering the terms in the Fibonacci sequence whose values do not exceed four million, find the sum of the even-valued terms.Correct: take all f(n) where f(n) <= 4,000,000 and f(n) is evenIncorrect: take all f(n) where n <= 4,000,000 and f(n) is even* Incorporate PR review suggestios to ProjectEuler 002Reword the problem statementCo-Authored-By: Tom <20648924+moT01@users.noreply.github.com>Co-authored-by: Tom <20648924+moT01@users.noreply.github.com>",https://github.com/freeCodeCamp/freeCodeCamp/commit/8cf64f25396d4fe1a6e7119d38ba56403bd006f7
4ef445c543d29bc026f91f5d4a80bb783f76d532,feat: add styles for markdown tables and convert some HTML tables to markdown (#38126),https://github.com/freeCodeCamp/freeCodeCamp/commit/4ef445c543d29bc026f91f5d4a80bb783f76d532
afd467f5dc1702b916e4f21bde04b758039016e4,Removes RSA links from English challenges (#37869)* RSA links deleted from challenges* fix: remove remaining RSA links in challenges,https://github.com/freeCodeCamp/freeCodeCamp/commit/afd467f5dc1702b916e4f21bde04b758039016e4
